SBD,Nam,Tinh,SBD_New,Toan,NguVan,VatLy,HoaHoc,SinhHoc,LichSu,DiaLy,GDCD,NgoaiNgu,MaMonNgoaiNgu,TongDiem,KhoiA,KhoiA1,KhoiB,KhoiC,KhoiD,KHTN,KHXH,KhoiA02,KhoiC01,KhoiD07,TongDiemKHTN,TongDiemKHXH
01018006,25,1,18006,8.2,,,7.5,7.5,,,,,,23.2,,,23.2,,,,,,,,,
01018008,25,1,18008,6.4,9.0,,,,,,,5.6,N1,21.0,,,,,21.0,,,,,,,
01018009,25,1,18009,4.2,8.75,,,,5.75,8.25,7.5,,,34.45,,,,22.75,,,7.17,,,,,
01018010,25,1,18010,,8.5,,,,8.25,9.5,9.0,6.8,N1,42.05,,,,26.25,,,8.92,,,,,
01018011,25,1,18011,6.2,9.0,,,,,,,4.8,N1,20.0,,,,,20.0,,,,,,,
01018012,25,1,18012,,6.0,,,,3.5,6.5,,,,16.0,,,,16.0,,,,,,,,
01018014,25,1,18014,8.0,8.25,8.5,,,,,,5.8,N1,30.55,,22.3,,,22.05,,,,24.75,,,
01018015,25,1,18015,8.4,9.0,,,,,,,5.6,N1,23.0,,,,,23.0,,,,,,,
01018016,25,1,18016,8.4,9.5,,,,,,,7.0,N1,24.9,,,,,24.9,,,,,,,
01018017,25,1,18017,7.8,7.0,7.75,3.75,3.0,,,,5.8,N1,35.1,19.3,21.35,14.55,,20.6,4.83,,18.55,22.55,17.35,35.1,
01018018,25,1,18018,8.0,9.0,,,,5.75,,,7.6,N1,30.35,,,,,24.6,,,,,,,
01018019,25,1,18019,7.0,8.0,,,,,,,5.2,N1,20.2,,,,,20.2,,,,,,,
01018020,25,1,18020,8.4,,,9.0,,,,,9.2,N1,26.6,,,,,,,,,,26.6,,
01018021,25,1,18021,8.0,,5.75,8.25,9.0,,,,,,31.0,22.0,,25.25,,,7.67,,22.75,,,,
01018022,25,1,18022,,5.0,,,,5.75,8.0,8.5,,,27.25,,,,18.75,,,7.42,,,,,
01018023,25,1,18023,6.6,,,6.0,6.5,,,,,,19.1,,,19.1,,,,,,,,,
01018026,25,1,18026,8.4,8.5,,,,7.0,8.0,9.0,8.6,N1,49.5,,,,23.5,25.5,,8.0,,,,,49.5
